"cep","geo","id_bairro","bairro","distrito","regional"
"88010000","-27.5957893, -48.5531835","13936","CENTRO","CENTRO","CENTRO"
"88010001","-27.5957791, -48.5531999","13936","CENTRO","CENTRO","CENTRO"
"88010002","-27.5926700, -48.5583901","13936","CENTRO","CENTRO","CENTRO"
"88010010","-27.5967938, -48.5506430","13936","CENTRO","CENTRO","CENTRO"
"88010020","-27.5963388, -48.5515213","13936","CENTRO","CENTRO","CENTRO"
"88010030","-27.5949437, -48.5515647","13936","CENTRO","CENTRO","CENTRO"
"88010040","-27.595852540706154, -48.55341571699109","13936","CENTRO","CENTRO","CENTRO"
"88010050","-27.594736485085505, -48.55376397902101","13936","CENTRO","CENTRO","CENTRO"
"88010055","-27.5974667, -48.5497560","13936","CENTRO","CENTRO","CENTRO"
"88010060","-27.595328554729207, -48.55426565673096","13936","CENTRO","CENTRO","CENTRO"
"88010070","-27.5956703, -48.5551645","13936","CENTRO","CENTRO","CENTRO"
"88010080","-27.5954357, -48.5560576","13936","CENTRO","CENTRO","CENTRO"
"88010090","-27.5939255, -48.5562564","13936","CENTRO","CENTRO","CENTRO"
"88010095","-27.5948040, -48.5574842","13936","CENTRO","CENTRO","CENTRO"
"88010100","-27.5969473, -48.5528392","13936","CENTRO","CENTRO","CENTRO"
"88010101","-27.5969377, -48.5528558","13936","CENTRO","CENTRO","CENTRO"
"88010102","-27.5959670, -48.5545594","13936","CENTRO","CENTRO","CENTRO"
"88010110","-27.5975223, -48.5523942","13936","CENTRO","CENTRO","CENTRO"
"88010120","-27.5945978, -48.5583131","13936","CENTRO","CENTRO","CENTRO"
"88010130","-27.5942139, -48.5595117","13936","CENTRO","CENTRO","CENTRO"
"88010135","-27.5951161, -48.5603094","13936","CENTRO","CENTRO","CENTRO"
"88010140","-27.5936699, -48.5591004","13936","CENTRO","CENTRO","CENTRO"
"88010145","-27.5937132, -48.5614862","13936","CENTRO","CENTRO","CENTRO"
"88010150","-27.5921224, -48.5613831","13936","CENTRO","CENTRO","CENTRO"
"88010155","-27.5914304, -48.5603904","13936","CENTRO","CENTRO","CENTRO"
"88010200","-27.5958878, -48.5554134","13936","CENTRO","CENTRO","CENTRO"
"88010210","-27.5959370, -48.5563785","13936","CENTRO","CENTRO","CENTRO"
"88010220","-27.5947341, -48.5599594","13936","CENTRO","CENTRO","CENTRO"
"88010225","-27.59910353893235, -48.55120683671664","13936","CENTRO","CENTRO","CENTRO"
"88010230","-27.5974247, -48.5538625","13936","CENTRO","CENTRO","CENTRO"
"88010235","-27.5956529, -48.5592984","13936","CENTRO","CENTRO","CENTRO"
"88010240","-27.6000828, -48.5519094","13936","CENTRO","CENTRO","CENTRO"
"88010245","-27.59910353893236, -48.55120683671665","13936","CENTRO","CENTRO","CENTRO"
"88010250","-27.5992615, -48.5516277","13936","CENTRO","CENTRO","CENTRO"
"88010260","-27.5973596, -48.5550723","13936","CENTRO","CENTRO","CENTRO"
"88010270","-27.5976670, -48.5555698","13936","CENTRO","CENTRO","CENTRO"
"88010272","-27.5980468, -48.5531198","13936","CENTRO","CENTRO","CENTRO"
"88010278","-27.5970399, -48.5547777","13936","CENTRO","CENTRO","CENTRO"
"88010280","-27.5983369, -48.5563030","13936","CENTRO","CENTRO","CENTRO"
"88010282","-27.5880716, -48.5482719","13936","CENTRO","CENTRO","CENTRO"
"88010290","-27.5986118, -48.5561378","13936","CENTRO","CENTRO","CENTRO"
"88010291","-27.5986132, -48.5561330","13936","CENTRO","CENTRO","CENTRO"
"88010295","-27.5968780, -48.5607530","13936","CENTRO","CENTRO","CENTRO"
"88010299","-27.5990136, -48.5521802","13936","CENTRO","CENTRO","CENTRO"
"88010300","-27.5954880, -48.5519450","13936","CENTRO","CENTRO","CENTRO"
"88010301","-27.5954803, -48.5519576","13936","CENTRO","CENTRO","CENTRO"
"88010310","-27.5928858, -48.5550940","13936","CENTRO","CENTRO","CENTRO"
"88010320","-27.595327412267856, -48.55086410609227","13936","CENTRO","CENTRO","CENTRO"
"88010400","-27.598625318836834, -48.54979543354504","13936","CENTRO","CENTRO","CENTRO"
"88010405","-27.5986256, -48.5505395","13936","CENTRO","CENTRO","CENTRO"
"88010410","-27.5992799, -48.5496178","13936","CENTRO","CENTRO","CENTRO"
"88010420","-27.59911015525092, -48.54928164567659","13936","CENTRO","CENTRO","CENTRO"
"88010430","-27.5988340, -48.5490277","13936","CENTRO","CENTRO","CENTRO"
"88010440","-27.5985151, -48.5486285","13936","CENTRO","CENTRO","CENTRO"
"88010450","-27.5973908, -48.5483339","13936","CENTRO","CENTRO","CENTRO"
"88010460","-27.5986746, -48.5488281","13936","CENTRO","CENTRO","CENTRO"
"88010470","-27.599632600808405, -48.54914981493712","13936","CENTRO","CENTRO","CENTRO"
"88010472","-27.5994551, -48.5489508","13936","CENTRO","CENTRO","CENTRO"
"88010500","-27.5967411, -48.5470674","13936","CENTRO","CENTRO","CENTRO"
"88010510","-27.5971389, -48.5479807","13936","CENTRO","CENTRO","CENTRO"
"88010520","-27.5959737, -48.5479910","13936","CENTRO","CENTRO","CENTRO"
"88010530","-27.5971625, -48.5500217","13936","CENTRO","CENTRO","CENTRO"
"88010540","-27.5954136, -48.5490380","13936","CENTRO","CENTRO","CENTRO"
"88010550","-27.5962215, -48.5489032","13936","CENTRO","CENTRO","CENTRO"
"88010560","-27.5982095, -48.5501255","13936","CENTRO","CENTRO","CENTRO"
"88010900","-27.596174727815818, -48.55018064907218","13936","CENTRO","CENTRO","CENTRO"
"88010901","-27.59638327692718, -48.54897048749494","13936","CENTRO","CENTRO","CENTRO"
"88010902","-27.5965248, -48.5524901","13936","CENTRO","CENTRO","CENTRO"
"88010903","-27.5949444, -48.5543957","13936","CENTRO","CENTRO","CENTRO"
"88010904","-27.5959496, -48.5509329","13936","CENTRO","CENTRO","CENTRO"
"88010905","-27.599632600808406, -48.54914981493713","13936","CENTRO","CENTRO","CENTRO"
"88010906","-27.5973717, -48.5539389","13936","CENTRO","CENTRO","CENTRO"
"88010907","-27.5973091, -48.5527887","13936","CENTRO","CENTRO","CENTRO"
"88010913","-27.5963501, -48.5544949","13936","CENTRO","CENTRO","CENTRO"
"88010914","-27.5950468, -48.5562989","13936","CENTRO","CENTRO","CENTRO"
"88010920","-27.597739382668237, -48.54948887997046","13936","CENTRO","CENTRO","CENTRO"
"88010970","-27.597851317531504, -48.54964676214981","13936","CENTRO","CENTRO","CENTRO"
"88010974","-27.593305445682873, -48.55731383382086","13936","CENTRO","CENTRO","CENTRO"
"88010975","-27.595249229172204, -48.5529450181006","13936","CENTRO","CENTRO","CENTRO"
"88010976","-27.5959060, -48.5482148","13936","CENTRO","CENTRO","CENTRO"
"88011959","-27.5980114, -48.5492992","13936","CENTRO","CENTRO","CENTRO"
"88012959","-27.5960828, -48.5481533","13936","CENTRO","CENTRO","CENTRO"
"88015000","-27.5953521, -48.5496077","13936","CENTRO","CENTRO","CENTRO"
"88015010","-27.5930294, -48.5499588","13936","CENTRO","CENTRO","CENTRO"
"88015020","-27.5950993, -48.5489907","13936","CENTRO","CENTRO","CENTRO"
"88015030","-27.59417289268254, -48.54902461996865","13936","CENTRO","CENTRO","CENTRO"
"88015040","-27.5943165, -48.5490903","13936","CENTRO","CENTRO","CENTRO"
"88015050","-27.5944562, -48.5484426","13936","CENTRO","CENTRO","CENTRO"
"88015060","-27.5936105, -48.5493907","13936","CENTRO","CENTRO","CENTRO"
